sku,product_name,category,group,subgroup,brand,base_price,initial_ticket_price,costos
CLOMESH006,Fashionista Shirts Collection,Clothing,Men,Shirts,Fashionista,52.74,68.3,29.48
CLOMESH007,Fashionista Shirts Collection,Clothing,Men,Shirts,Fashionista,50.32,63.35,25.08
CLOMESH008,DressRight Shirts Collection,Clothing,Men,Shirts,DressRight,45.41,50.66,23.42
CLOMESH009,DressRight Slim Shirts,Clothing,Men,Shirts,DressRight,40.5,51.32,24.07
CLOMESH010,StyleX Athletic Shirts,Clothing,Men,Shirts,StyleX,53.91,61.17,27.57
CLOMESH011,StyleX Shirts Collection,Clothing,Men,Shirts,StyleX,43.12,52.17,21.02
CLOMESH012,DressRight Comfort Shirts,Clothing,Men,Shirts,DressRight,54.28,62.75,29.8
CLOMESH013,Fashionista Relaxed Shirts,Clothing,Men,Shirts,Fashionista,59.09,71.54,33.13
CLOMESH014,ThreadWell Relaxed Shirts,Clothing,Men,Shirts,ThreadWell,52.22,60.03,26.79
CLOMESH015,Fashionista Classic Shirts,Clothing,Men,Shirts,Fashionista,47.11,51.96,26.55
CLOMEPA001,ThreadWell Pants Collection,Clothing,Men,Pants,ThreadWell,42.31,46.89,19.33
CLOMEPA002,DressRight Regular Pants,Clothing,Men,Pants,DressRight,57.1,68.22,31.72
CLOMEPA003,Fashionista Comfort Pants,Clothing,Men,Pants,Fashionista,41.95,50.12,21.97
CLOMEPA004,StyleX Classic Pants,Clothing,Men,Pants,StyleX,43.46,51.26,22.38
CLOMEPA005,ThreadWell Pants Collection,Clothing,Men,Pants,ThreadWell,52.31,58.01,28.52
CLOMEPA006,Fashionista Pants Collection,Clothing,Men,Pants,Fashionista,47.48,57.01,25.82
CLOMEPA007,Fashionista Comfort Pants,Clothing,Men,Pants,Fashionista,57.12,64.69,31.35
CLOMEPA008,StyleX Pants Collection,Clothing,Men,Pants,StyleX,41.4,45.76,22.62
CLOMEPA009,Fashionista Modern Pants,Clothing,Men,Pants,Fashionista,51.71,62.83,30.56
CLOMEPA010,Attire Pants Collection,Clothing,Men,Pants,Attire,47.75,56.91,26.1
CLOMEPA011,ThreadWell Regular Pants,Clothing,Men,Pants,ThreadWell,50.9,59.92,30.09
CLOMEJA001,Fashionista Jackets Collection,Clothing,Men,Jackets,Fashionista,59.21,67.45,34.69
CLOMEJA002,ThreadWell Jackets Collection,Clothing,Men,Jackets,ThreadWell,41.38,45.67,19.25
CLOMEJA003,StyleX Jackets Collection,Clothing,Men,Jackets,StyleX,41.88,46.66,23.14
CLOMEJA004,ThreadWell Jackets Collection,Clothing,Men,Jackets,ThreadWell,46.37,51.22,26.74
CLOMEJA005,DressRight Jackets Collection,Clothing,Men,Jackets,DressRight,56.28,63.24,27.7
CLOMEJA006,StyleX Relaxed Jackets,Clothing,Men,Jackets,StyleX,53.92,68.78,29.35
CLOMEJA007,Fashionista Jackets Collection,Clothing,Men,Jackets,Fashionista,54.69,63.24,31.2
CLOMEJA008,StyleX Athletic Jackets,Clothing,Men,Jackets,StyleX,43.54,54.92,24.5
CLOMEJA009,Attire Jackets Collection,Clothing,Men,Jackets,Attire,59.8,70.23,30.61
CLOMEJA010,ThreadWell Jackets Collection,Clothing,Men,Jackets,ThreadWell,55.52,71.4,27.82
CLOMEUN001,DressRight Comfort Underwear,Clothing,Men,Underwear,DressRight,57.16,71.46,29.4
CLOMEUN002,DressRight Relaxed Underwear,Clothing,Men,Underwear,DressRight,55.08,70.53,25.64
CLOMEUN003,StyleX Underwear Collection,Clothing,Men,Underwear,StyleX,50.1,58.31,28.75
CLOMEUN004,StyleX Relaxed Underwear,Clothing,Men,Underwear,StyleX,57.9,63.81,29.43
CLOMEUN005,Attire Classic Underwear,Clothing,Men,Underwear,Attire,58.1,67.62,26.94
CLOMEUN006,ThreadWell Underwear Collection,Clothing,Men,Underwear,ThreadWell,58.99,71.65,34.96
CLOMEUN007,StyleX Underwear Collection,Clothing,Men,Underwear,StyleX,52.63,60.97,27.22
CLOMEUN008,DressRight Underwear Collection,Clothing,Men,Underwear,DressRight,46.56,58.23,25.65
CLOMEUN009,Attire Underwear Collection,Clothing,Men,Underwear,Attire,55.82,62.42,31.73
CLOMEUN010,Attire Underwear Collection,Clothing,Men,Underwear,Attire,49.88,60.35,22.88
CLOMEUN011,DressRight Regular Underwear,Clothing,Men,Underwear,DressRight,48.82,57.13,28.47
CLOMEUN012,Attire Underwear Collection,Clothing,Men,Underwear,Attire,42.33,53.01,19.96
CLOMEUN013,Fashionista Underwear Collection,Clothing,Men,Underwear,Fashionista,52.35,58.47,24.35
CLOMEUN014,Attire Relaxed Underwear,Clothing,Men,Underwear,Attire,54.01,68.29,24.89
CLOMEUN015,ThreadWell Comfort Underwear,Clothing,Men,Underwear,ThreadWell,54.11,60.44,25.01
CLOMEUN016,DressRight Underwear Collection,Clothing,Men,Underwear,DressRight,59.72,70.12,30.23
CLOMEUN017,Attire Underwear Collection,Clothing,Men,Underwear,Attire,56.24,72.96,33.3
CLOMEUN018,Attire Athletic Underwear,Clothing,Men,Underwear,Attire,55.06,61.48,27.88
CLOMEUN019,Attire Classic Underwear,Clothing,Men,Underwear,Attire,55.53,65.8,29.64
CLOWODR001,ThreadWell Dresses Collection,Clothing,Women,Dresses,ThreadWell,58.12,69.65,27.12
CLOWODR002,StyleX Classic Dresses,Clothing,Women,Dresses,StyleX,40.22,44.69,20.93
CLOWODR003,ThreadWell Modern Dresses,Clothing,Women,Dresses,ThreadWell,42.37,52.11,19.81
CLOWODR004,Fashionista Slim Dresses,Clothing,Women,Dresses,Fashionista,54.91,70.97,29.51
CLOWODR005,StyleX Comfort Dresses,Clothing,Women,Dresses,StyleX,47.49,60.49,23.4
CLOWODR006,DressRight Comfort Dresses,Clothing,Women,Dresses,DressRight,44.46,49.02,26.43
CLOWODR007,Attire Classic Dresses,Clothing,Women,Dresses,Attire,59.39,75.91,27.11
CLOWODR008,Attire Dresses Collection,Clothing,Women,Dresses,Attire,50.54,56.34,30.27
CLOWODR009,Attire Regular Dresses,Clothing,Women,Dresses,Attire,51.07,61.52,30.4
CLOWODR010,StyleX Modern Dresses,Clothing,Women,Dresses,StyleX,52.58,62.61,29.15
CLOWODR011,Attire Regular Dresses,Clothing,Women,Dresses,Attire,52.54,67.26,28.25
CLOWOTO001,Attire Athletic Tops,Clothing,Women,Tops,Attire,40.9,52.77,20.13
CLOWOTO002,Fashionista Comfort Tops,Clothing,Women,Tops,Fashionista,57.79,70.74,29.96
CLOWOTO003,Fashionista Tops Collection,Clothing,Women,Tops,Fashionista,45.54,54.32,21.78
CLOWOTO004,DressRight Tops Collection,Clothing,Women,Tops,DressRight,47.06,52.49,25.3
CLOWOTO005,Attire Tops Collection,Clothing,Women,Tops,Attire,59.48,73.73,35.56
CLOWOTO006,DressRight Tops Collection,Clothing,Women,Tops,DressRight,50.71,64.04,25.17
CLOWOTO007,Fashionista Tops Collection,Clothing,Women,Tops,Fashionista,53.68,68.83,25.47
CLOWOTO008,Attire Tops Collection,Clothing,Women,Tops,Attire,56.44,70.28,33.44
CLOWOTO009,Fashionista Tops Collection,Clothing,Women,Tops,Fashionista,52.26,67.23,26.79
CLOWOTO010,DressRight Tops Collection,Clothing,Women,Tops,DressRight,57.31,63.34,26.18
CLOWOTO011,Fashionista Tops Collection,Clothing,Women,Tops,Fashionista,47.52,61.65,27.16
CLOWOTO012,Attire Classic Tops,Clothing,Women,Tops,Attire,43.0,50.58,23.18
CLOWOTO013,ThreadWell Relaxed Tops,Clothing,Women,Tops,ThreadWell,59.39,75.28,34.23
CLOWOTO014,ThreadWell Tops Collection,Clothing,Women,Tops,ThreadWell,49.36,57.0,25.29
CLOWOTO015,DressRight Regular Tops,Clothing,Women,Tops,DressRight,41.12,51.92,23.84
CLOWOTO016,Fashionista Comfort Tops,Clothing,Women,Tops,Fashionista,59.98,72.64,35.96
CLOWOTO017,Fashionista Slim Tops,Clothing,Women,Tops,Fashionista,55.37,70.31,32.76
CLOWOTO018,Attire Tops Collection,Clothing,Women,Tops,Attire,44.94,50.59,23.26
CLOWOBO001,DressRight Bottoms Collection,Clothing,Women,Bottoms,DressRight,59.07,67.68,31.95
CLOWOBO002,Attire Regular Bottoms,Clothing,Women,Bottoms,Attire,53.42,62.59,28.99
CLOWOBO003,Attire Bottoms Collection,Clothing,Women,Bottoms,Attire,42.26,50.89,23.28
CLOWOBO004,DressRight Modern Bottoms,Clothing,Women,Bottoms,DressRight,55.44,70.43,29.27
CLOWOBO005,DressRight Bottoms Collection,Clothing,Women,Bottoms,DressRight,51.03,65.08,27.26
CLOWOBO006,Attire Relaxed Bottoms,Clothing,Women,Bottoms,Attire,48.06,53.14,22.59
CLOWOBO007,ThreadWell Bottoms Collection,Clothing,Women,Bottoms,ThreadWell,55.09,68.36,29.92
CLOWOBO008,Attire Comfort Bottoms,Clothing,Women,Bottoms,Attire,44.25,48.8,20.82
CLOWOBO009,Fashionista Bottoms Collection,Clothing,Women,Bottoms,Fashionista,47.0,55.39,25.31
CLOWOBO010,Attire Bottoms Collection,Clothing,Women,Bottoms,Attire,48.74,57.01,28.54
CLOWOBO011,StyleX Bottoms Collection,Clothing,Women,Bottoms,StyleX,50.27,59.28,28.53
CLOWOBO012,ThreadWell Bottoms Collection,Clothing,Women,Bottoms,ThreadWell,52.43,67.63,30.38
CLOWOBO013,Fashionista Bottoms Collection,Clothing,Women,Bottoms,Fashionista,42.93,51.45,25.29
CLOWOBO014,Fashionista Comfort Bottoms,Clothing,Women,Bottoms,Fashionista,45.16,58.52,23.43
CLOWOBO015,DressRight Slim Bottoms,Clothing,Women,Bottoms,DressRight,49.84,61.14,24.89
CLOWOOU001,Attire Modern Outerwear,Clothing,Women,Outerwear,Attire,44.79,50.43,20.67
CLOWOOU002,Attire Slim Outerwear,Clothing,Women,Outerwear,Attire,42.55,47.99,20.12
CLOWOOU003,ThreadWell Outerwear Collection,Clothing,Women,Outerwear,ThreadWell,52.81,61.74,25.2
CLOWOOU004,ThreadWell Comfort Outerwear,Clothing,Women,Outerwear,ThreadWell,57.92,71.45,30.18
CLOWOOU005,ThreadWell Outerwear Collection,Clothing,Women,Outerwear,ThreadWell,43.44,48.14,20.8
CLOWOOU006,Attire Outerwear Collection,Clothing,Women,Outerwear,Attire,43.37,49.24,21.33
CLOWOOU007,Attire Outerwear Collection,Clothing,Women,Outerwear,Attire,41.77,49.79,19.55
CLOWOOU008,StyleX Outerwear Collection,Clothing,Women,Outerwear,StyleX,44.12,52.97,22.26
CLOWOOU009,StyleX Relaxed Outerwear,Clothing,Women,Outerwear,StyleX,53.8,67.78,24.53
CLOWOOU010,Fashionista Modern Outerwear,Clothing,Women,Outerwear,Fashionista,52.55,66.98,24.29
CLOWOOU011,StyleX Regular Outerwear,Clothing,Women,Outerwear,StyleX,58.41,67.48,26.82
CLOWOOU012,Fashionista Athletic Outerwear,Clothing,Women,Outerwear,Fashionista,56.11,63.79,31.55
CLOWOOU013,Fashionista Regular Outerwear,Clothing,Women,Outerwear,Fashionista,44.18,52.88,22.34
CLOWOOU014,Attire Athletic Outerwear,Clothing,Women,Outerwear,Attire,52.35,62.43,26.46
CLOWOOU015,Fashionista Outerwear Collection,Clothing,Women,Outerwear,Fashionista,54.94,63.21,25.02
CLOWOOU016,ThreadWell Outerwear Collection,Clothing,Women,Outerwear,ThreadWell,54.26,65.23,31.7
CLOWOOU017,Fashionista Modern Outerwear,Clothing,Women,Outerwear,Fashionista,50.63,60.23,23.6
CLOWOOU018,Fashionista Outerwear Collection,Clothing,Women,Outerwear,Fashionista,50.64,58.43,24.63
CLOWOOU019,StyleX Relaxed Outerwear,Clothing,Women,Outerwear,StyleX,47.54,55.35,21.53
CLOWOOU020,DressRight Outerwear Collection,Clothing,Women,Outerwear,DressRight,44.22,49.7,22.07
CLOCHBO001,Fashionista Athletic Boys,Clothing,Children,Boys,Fashionista,57.8,71.43,31.16
CLOCHBO002,Fashionista Classic Boys,Clothing,Children,Boys,Fashionista,55.77,62.32,29.27
CLOCHBO003,ThreadWell Modern Boys,Clothing,Children,Boys,ThreadWell,50.73,63.37,27.3
CLOCHBO004,DressRight Relaxed Boys,Clothing,Children,Boys,DressRight,48.62,56.25,22.81
CLOCHBO005,DressRight Boys Collection,Clothing,Children,Boys,DressRight,47.25,57.37,25.84
CLOCHBO006,ThreadWell Athletic Boys,Clothing,Children,Boys,ThreadWell,47.11,57.53,28.17
CLOCHBO007,ThreadWell Modern Boys,Clothing,Children,Boys,ThreadWell,44.74,50.58,20.81
CLOCHBO008,Attire Boys Collection,Clothing,Children,Boys,Attire,44.91,51.08,21.29
CLOCHBO009,StyleX Boys Collection,Clothing,Children,Boys,StyleX,45.69,58.46,21.75
CLOCHBO010,ThreadWell Boys Collection,Clothing,Children,Boys,ThreadWell,41.6,49.17,21.99
CLOCHBO011,Fashionista Boys Collection,Clothing,Children,Boys,Fashionista,59.64,70.34,27.84
CLOCHBO012,Fashionista Boys Collection,Clothing,Children,Boys,Fashionista,59.38,75.02,34.43
CLOCHBO013,DressRight Boys Collection,Clothing,Children,Boys,DressRight,45.15,55.7,21.47
CLOCHBO014,Attire Boys Collection,Clothing,Children,Boys,Attire,58.58,71.13,31.25
CLOCHBO015,DressRight Boys Collection,Clothing,Children,Boys,DressRight,45.59,51.85,25.78
CLOCHBO016,ThreadWell Modern Boys,Clothing,Children,Boys,ThreadWell,46.46,55.83,23.87
CLOCHGI001,ThreadWell Girls Collection,Clothing,Children,Girls,ThreadWell,44.84,54.8,20.95
CLOCHGI002,Fashionista Girls Collection,Clothing,Children,Girls,Fashionista,45.76,51.75,24.58
CLOCHGI003,DressRight Girls Collection,Clothing,Children,Girls,DressRight,49.61,55.09,26.29
CLOCHGI004,ThreadWell Comfort Girls,Clothing,Children,Girls,ThreadWell,46.72,51.99,21.97
CLOCHGI005,ThreadWell Comfort Girls,Clothing,Children,Girls,ThreadWell,59.79,75.45,29.8
CLOCHGI006,Fashionista Girls Collection,Clothing,Children,Girls,Fashionista,45.08,56.45,24.9
CLOCHGI007,ThreadWell Girls Collection,Clothing,Children,Girls,ThreadWell,51.9,61.37,27.03
CLOCHGI008,ThreadWell Girls Collection,Clothing,Children,Girls,ThreadWell,46.97,59.47,27.68
CLOCHGI009,DressRight Athletic Girls,Clothing,Children,Girls,DressRight,59.29,73.88,27.79
CLOCHGI010,Fashionista Regular Girls,Clothing,Children,Girls,Fashionista,58.76,65.41,28.04
CLOCHGI011,Attire Girls Collection,Clothing,Children,Girls,Attire,54.81,69.52,29.39
CLOCHIN001,Fashionista Infants Collection,Clothing,Children,Infants,Fashionista,42.79,48.79,24.36
CLOCHIN002,Attire Infants Collection,Clothing,Children,Infants,Attire,43.26,54.64,20.54
CLOCHIN003,StyleX Relaxed Infants,Clothing,Children,Infants,StyleX,53.29,62.45,28.16
CLOCHIN004,Fashionista Infants Collection,Clothing,Children,Infants,Fashionista,57.53,72.68,29.28
CLOCHIN005,Fashionista Infants Collection,Clothing,Children,Infants,Fashionista,48.77,58.16,24.71
CLOCHIN006,DressRight Infants Collection,Clothing,Children,Infants,DressRight,46.02,55.25,25.87
CLOCHIN007,Attire Infants Collection,Clothing,Children,Infants,Attire,44.64,52.53,26.11
CLOCHIN008,Attire Infants Collection,Clothing,Children,Infants,Attire,50.86,62.3,29.8
CLOCHIN009,ThreadWell Infants Collection,Clothing,Children,Infants,ThreadWell,42.33,51.88,25.02
CLOCHIN010,ThreadWell Infants Collection,Clothing,Children,Infants,ThreadWell,46.69,58.77,21.99
CLOCHIN011,ThreadWell Slim Infants,Clothing,Children,Infants,ThreadWell,52.39,67.0,27.77
CLOCHIN012,Fashionista Infants Collection,Clothing,Children,Infants,Fashionista,55.76,64.81,26.36
CLOCHIN013,StyleX Regular Infants,Clothing,Children,Infants,StyleX,44.96,49.76,25.25
CLOCHIN014,Fashionista Infants Collection,Clothing,Children,Infants,Fashionista,51.39,65.54,29.0
CLOCHIN015,ThreadWell Infants Collection,Clothing,Children,Infants,ThreadWell,46.83,52.55,26.84
CLOCHIN016,StyleX Relaxed Infants,Clothing,Children,Infants,StyleX,56.92,67.13,26.7
CLOCHIN017,Fashionista Infants Collection,Clothing,Children,Infants,Fashionista,55.93,64.09,26.43
CLOCHIN018,Fashionista Infants Collection,Clothing,Children,Infants,Fashionista,54.43,66.86,30.37
HOMAPSM001,HomeStyle Essential Small Appliances,Home & Kitchen,Appliances,Small Appliances,HomeStyle,86.2,99.16,52.45
HOMAPSM002,HomeMaker Professional Small Appliances,Home & Kitchen,Appliances,Small Appliances,HomeMaker,75.05,96.19,40.25
